[11:05:58.321] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:12:15.604] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:12:24.835] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:12:24.843] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:12:24.845] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:12:43.833] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:12:43.837] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:12:43.838] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:12:54.980] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:12:54.984] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:12:54.990] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:13:12.770] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:13:12.773] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:13:12.773] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:13:26.672] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:13:26.672] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:13:26.679] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:13:43.829] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:13:43.833] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:13:43.839] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:13:54.329] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:13:54.334] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:13:54.334] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:14:15.777] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:14:15.781] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:14:15.784] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:14:23.835] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:14:23.840] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:14:23.842] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:14:44.908] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:14:44.912] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:14:44.912] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:14:54.207] INFO  🔵 SQL | 3 ms | select * from `expense_dev`.`users` where 1=0
[11:14:54.212] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:14:54.215] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:15:14.241] INFO  🔵 SQL | 1 ms | select * from `expense_dev`.`users` where 1=0
[11:15:14.251] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:15:14.254] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:15:26.028] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:15:26.032] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:15:26.034] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:15:45.093] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:15:45.099] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:15:45.100] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:15:54.223] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:15:54.227] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:15:54.229] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:16:15.925] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:16:15.929] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:16:15.933] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:16:23.832] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:16:23.837] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:16:23.838] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:16:45.930] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:16:45.934] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:16:45.934] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:16:54.264] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:16:54.270] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:16:54.273] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:17:15.601] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:17:15.607] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:17:15.609] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:17:24.906] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:17:24.911] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:17:24.912] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:17:47.212] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:17:47.219] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:17:47.221] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:17:55.219] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:17:55.222] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:17:55.222] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:18:14.527] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:18:14.531] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:18:14.532] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:18:25.334] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:18:25.338] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:18:25.340] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:18:48.956] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:18:48.958] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:18:48.960] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:18:57.556] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:18:57.564] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:18:57.567] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:19:21.748] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:19:21.753] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:19:21.756] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:19:26.015] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:19:26.023] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:19:26.025] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:19:30.187] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:19:30.195] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:19:30.199] INFO  🔵 SQL | 1 ms | select * from `expense_dev`.`users` where 1=0
[11:19:48.032] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:19:48.037] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:19:48.038] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:19:54.428] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:19:54.432] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:19:54.434] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:20:20.860] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:20:20.864] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:20:20.865] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:20:29.224] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:20:29.229] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:20:29.231] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:20:49.984] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:20:49.990] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:20:49.993] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:20:57.464] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:20:57.467] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:20:57.468] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:21:22.897] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:21:22.901] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:21:22.903] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:21:30.618] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:21:30.620] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:21:30.621] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:21:47.467] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:21:47.470] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:21:47.472] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:21:55.326] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:21:55.329] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:21:55.330] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:22:18.406] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:22:18.412] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:22:18.413] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:22:21.205] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:22:21.209] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:22:21.210] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:22:27.484] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:22:27.489] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:22:27.492] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:22:53.472] INFO  🔵 SQL | 1 ms | select * from `expense_dev`.`users` where 1=0
[11:22:53.478] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:22:53.481] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:23:00.138] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:23:00.143] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:23:00.144] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:23:16.179] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:23:16.185] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:23:16.188] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:23:26.772] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:23:26.778] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:23:26.779] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:23:50.982] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:23:50.986] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:23:50.987] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:23:58.710] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:23:58.712] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:23:58.714] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:24:21.897] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:24:21.904] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:24:21.907] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:24:30.334] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:24:30.337] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:24:30.340] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:24:48.573] INFO  🔵 SQL | 1 ms | select * from `expense_dev`.`users` where 1=0
[11:24:48.576] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:24:48.577] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:24:55.934] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:24:55.938] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:24:55.940] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:25:22.901] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:25:22.907] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:25:22.909] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:25:25.999] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:25:26.002] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:25:26.003] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:25:33.214] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:25:33.219] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:25:33.221] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:25:41.718] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:25:41.724] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:25:41.726] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:26:07.718] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:26:07.725] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:26:07.728] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:26:15.424] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:26:15.428] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:26:15.429] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:26:38.125] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:26:38.127] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:26:38.129] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:26:44.784] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:26:44.791] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:26:44.792] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:27:04.733] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:27:04.736] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:27:04.739] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:27:14.959] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:27:14.963] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:27:14.965] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:27:41.299] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:27:41.304] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:27:41.305] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:27:48.545] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:27:48.549] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:27:48.551] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:27:57.935] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:27:57.940] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:27:57.942] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:28:23.334] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:28:23.336] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:28:23.337] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:28:33.174] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:28:33.178] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:28:33.181] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:28:47.709] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:28:47.712] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:28:47.715] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:28:57.708] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:28:57.712] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:28:57.713] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:29:26.141] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:29:26.147] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:29:26.149] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:29:33.873] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:29:33.877] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
[11:29:33.879] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:29:43.703] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`users` where 1=0
[11:29:43.709] INFO  🔵 SQL | 0 ms | select * from `expense_dev`.`category` where 1=0
